Country,Year,LE
Albania,1950,44.7
Albania,1951,45.1
Albania,1952,46.0
Albania,1953,46.5
Albania,1954,47.6
Albania,1955,48.5
Albania,1956,49.6
Albania,1957,50.7
Albania,1958,52.0
Albania,1959,53.2
Albania,1960,54.4
Albania,1961,55.6
Albania,1962,56.7
Albania,1963,57.8
Albania,1964,59.0
Albania,1965,60.0
Albania,1966,61.0
Albania,1967,62.0
Albania,1968,62.9
Albania,1969,63.9
Albania,1970,64.8
Albania,1971,65.6
Albania,1972,66.4
Albania,1973,67.1
Albania,1974,67.8
Albania,1975,68.3
Albania,1976,68.7
Albania,1977,69.1
Albania,1978,69.3
Albania,1979,69.6
Albania,1980,70.5
Albania,1981,70.7
Albania,1982,71.0
Albania,1983,71.3
Albania,1984,71.5
Albania,1985,71.7
Albania,1986,71.9
Albania,1987,72.4
Albania,1988,72.6
Albania,1989,72.9
Albania,1990,73.1
Albania,1991,73.4
Albania,1992,73.7
Albania,1993,73.9
Albania,1994,74.1
Albania,1995,74.4
Albania,1996,74.6
Albania,1997,73.9
Albania,1998,75.0
Albania,1999,75.2
Albania,2000,75.4
Albania,2001,75.6
Albania,2002,75.9
Albania,2003,76.1
Albania,2004,76.4
Albania,2005,76.6
Albania,2006,76.8
Albania,2007,77.5
Albania,2008,77.7
Albania,2009,77.8
Albania,2010,77.9
Albania,2011,78.1
Albania,2012,78.1
Albania,2013,78.1
Albania,2014,78.4
Albania,2015,78.6
Albania,2016,78.9
Albania,2017,79.0
Albania,2018,79.2
Albania,2019,79.3
Albania,2020,77.0
Albania,2021,76.5
Anguilla,1950,55.3
Anguilla,1951,55.5
Anguilla,1952,56.0
Anguilla,1953,56.5
Anguilla,1954,57.0
Anguilla,1955,57.6
Anguilla,1956,58.1
Anguilla,1957,58.7
Anguilla,1958,59.2
Anguilla,1959,59.9
Anguilla,1960,59.0
Anguilla,1961,60.9
Anguilla,1962,61.3
Anguilla,1963,61.9
Anguilla,1964,62.4
Anguilla,1965,62.9
Anguilla,1966,63.3
Anguilla,1967,63.7
Anguilla,1968,64.2
Anguilla,1969,64.7
Anguilla,1970,65.1
Anguilla,1971,65.5
Anguilla,1972,66.0
Anguilla,1973,66.4
Anguilla,1974,66.8
